Data;IBOVam;POUPam;IBOVamAcc;POUPamAcc
2016.03;16,97;0,7179;8120783,232;2557261,05
2016.04;7,7;0,6311;8746083,541;2573399,925
2016.05;-10,09;0,6541;7863603,712;2590232,533
2016.06;6,3;0,7053;8359010,746;2608501,444
2016.07;11,22;0,6629;9296891,752;2625793,2
2016.08;1,03;0,7558;9392649,737;2645638,945
2016.09;0,8;0,6583;9467790,934;2663055,186
2016.10;11,23;0,6609;10531023,86;2680655,318
2016.11;-4,65;0,6435;10041331,25;2697905,334
2016.12;-2,71;0,6858;9769211,17;2716407,569
2017.01;7,38;0,6709;10490178,95;2734631,948
2017.02;3,08;0,5304;10813276,47;2749136,435
2017.03;-2,52;0,6527;10540781,9;2767080,049
2017.04;0,64;0,5;10608242,9;2780915,449
2017.05;-4,12;0,5768;10171183,3;2796955,77
2017.06;0,3;0,5539;10201696,85;2812448,108
2017.07;4,8;0,5626;10691378,29;2828270,941
2017.08;7,46;0,5512;11488955,12;2843860,37
2017.09;4,88;0,5;12049616,12;2858079,672
2017.10;0,02;0,5;12052026,05;2872370,07
2017.11;-3,15;0,5;11672387,23;2886731,921
2017.12;6,16;0,5;12391406,28;2901165,58
2018.01;11,14;0,5;13771808,94;2915671,408
2018.02;0,52;0,5;13843422,35;2930249,765
2018.03;0,01;0,5;13844806,69;2944901,014
2018.04;0,88;0,5;13966640,99;2959625,519
2018.05;-10,87;0,5;12448467,11;2974423,647
2018.06;-5,2;0,5;11801146,82;2989295,765
2018.07;8,88;0,5;12849088,66;3004242,244
2018.08;-3,21;0,5;12436632,91;3019263,455
2018.09;3,48;0,5;12869427,74;3034359,772
2018.10;10,19;0,5;14180822,43;3049531,571
2018.11;2,38;0,5;14518326;3064779,229
2018.12;-1,81;0,5;14255544,3;3080103,125
2019.01;10,82;0,5;15797994,19;3095503,641
2019.02;-1,86;0,5;15504151,5;3110981,159
2019.03;-0,18;0,5;15476244,03;3126536,065
2019.04;0,98;0,5;15627911,22;3142168,745
2019.05;0,7;0,5;15737306,6;3157879,589
2019.06;4,06;0,5;16376241,25;3173668,987
2019.07;0,84;0,5;16513801,67;3189537,332
2019.08;-0,67;0,5;16403159,2;3205485,018
2019.09;3,57;0,5;16988751,99;3221512,443
2019.10;2,36;0,5;17389686,53;3237620,006
2019.11;0,95;0,5;17554888,55;3253808,106
2019.12;6,85;0,5;18757398,42;3270077,146
2020.01;-1,63;0,5;18451652,83;3286427,532
2020.02;-8,43;0,5;16896178,49;3302859,67
2020.03;-29,9;0,5;11844221,12;3319373,968
2020.04;10,25;0,5;13058253,79;3335970,838
2020.05;8,57;0,5;14177346,14;3352650,692
